"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"851","#JillStein is still babbling on and on about the evils of the Democrats, yet the Greens have so few members that they barely exist",FALSE,0,NA,2016-11-12 00:39:32,FALSE,NA,"797237357611073536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JustABonobo",0,FALSE,FALSE,NA,NA
"852","REMEMBER that the VOTING MACHINES are HACKABLE
MORE LIKELY #JillStein votes were FLIPPED to trump &amp; clinton
Both GO… https://t.co/18TLuFeefo",FALSE,0,NA,2016-11-12 00:33:14,TRUE,NA,"797235773292613632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoonieKane",0,FALSE,FALSE,NA,NA
"853","RT @TedGrunewald: #JillStein voters did not deliver #DonaldtRump the presidency.
Stop blaming third-party voters for tRump's victory.
https…",FALSE,0,NA,2016-11-12 00:29:50,FALSE,NA,"797234917742477312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","turbolars",3,TRUE,FALSE,NA,NA
"854","#Democrats have been in steep decline under #BarackObama since 2008-don't blame #JillStein &amp; the #GreenParty for it!
https://t.co/CDY2QoIZ30",FALSE,1,NA,2016-11-12 00:15:42,FALSE,NA,"797231358544412672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","paulinepark",0,FALSE,FALSE,NA,NA
"855","I blocked #JillStein tonight. She has caused excessive trouble for America. I refuse to read anything she has to say anymore.",FALSE,2,NA,2016-11-12 00:08:34,FALSE,NA,"797229565479424000",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SharonCarbine",1,FALSE,FALSE,NA,NA
"856",".@Bernie2016tv @CNN 3/ could feel free to help #JillStein #GaryJohnson &amp; ALL other 3rd Parties by voting 4 them ONLY in deep blue states...",FALSE,0,"MisteroManno",2016-11-11 23:59:21,FALSE,"797224249417207808","797227245769261056","834588654","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MisteroManno",0,FALSE,FALSE,NA,NA
"857","How Did Trump Rise to Power? #trumptower #TrumpTrain #TrumpPresident #Trump #JillStein #JillNotHill... https://t.co/sxeKWbMvsC",FALSE,0,NA,2016-11-11 23:56:35,FALSE,NA,"797226546582974464",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","Rynkman",0,FALSE,FALSE,NA,NA
"858","How Did Trump Rise to Power? #trumptower #TrumpTrain #TrumpPresident #Trump #JillStein #JillNotHill… https://t.co/Ky8F3WnJih",FALSE,0,NA,2016-11-11 23:56:29,TRUE,NA,"797226522037911553",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Rynkman",0,FALSE,FALSE,NA,NA
"859","RT @SelmaJonque: @kurteichenwald @SusanSarandon Really? You think the #JillStein vote is why Hillary lost?",FALSE,0,NA,2016-11-11 23:53:30,FALSE,NA,"797225770204753920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Chaotix182",4,TRUE,FALSE,NA,NA
"860","RT @javmaher9: Jill Stein voters did not deliver Donald Trump the #presidency https://t.co/dhZiZJL7Sv via @voxdotcom #JillStein
#DonaldTrum…",FALSE,0,NA,2016-11-11 23:37:58,FALSE,NA,"797221862006751232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Dallas4Bernie",4,TRUE,FALSE,NA,NA
